==================================================================
Authors' Name           :P. Vilím, P. Laborie and P. Shaw
Authors' Email          :petr_vilim@cz.ibm.com
Authors' Initials       :VLS
Shelfmark               :15
Instance Set            :j30
Type                    :mm
Date                    :1/3/15
==================================================================
Research Report: Failure-directed Search for Constraint-based 
                 Scheduling. In Proc. 12th International Conference 
                 on Integration of AI and OR Techniques in 
                 Constraint Programming for Combinatorial 
                 Optimization Problems (CPAIOR 2015).
==================================================================
   Parameter  Instance  Lower Bound
------------------------------------------------------------------
   7          8          47
   8          6          46
   9          1          31
   9          10         25
   9          2          27
   9          3          34
   9          4          30
   9          5          27
   9          6          31
   9          7          35
   9          8          26
   9          9          32   
  10          1          26
  10          10         32
  10          2          28
  10          3          24
  10          4          36
  10          5          33
  10          6          25
  10          7          22
  10          8          31
  10          9          38
  11          1          35
  11          10         35
  11          2          28
  11          3          31
  11          4          35
  11          5          35
  11          6          33
  11          7          32
  11          8          30
  11          9          26
  12          1          29
  12          10         28
  12          2          31
  12          3          34
  12          4          29
  12          5          25
  12          6          34
  12          7          27
  12          8          28
  12          9          22
  13          1          37
  13          10         41
  13          2          40
  13          3          39
  13          4          41
  13          5          37
  13          6          38
  13          7          41
  13          8          28
  13          9          30
  14          1          37
  14          10         29
  14          2          32
  14          3          30
  14          4          34
  14          5          26
  14          6          29
  14          7          34
  14          8          41
  14          9          31
  15          1          40
  15          10         38
  15          2          34
  15          3          33
  15          4          30
  15          5          24
  15          6          22
  15          7          27
  15          8          23
  15          9          28
  16          1          27
  16          10         32
  16          2          41
  16          3          23
  16          4          19
  16          5          30
  16          6          30
  16          7          22
  16          8          25
  16          9          24
  17          1          34
  17          10         26
  17          2          26
  17          3          33
  17          4          39
  17          5          29
  17          6          33
  17          7          32
  17          8          31
  17          9          34
  18          1          28
  18          10         33
  18          2          33
  18          3          35
  18          4          31
  18          5          21
  18          6          25
  18          7          35
  18          8          18
  18          9          25
  19          1          35
  19          10         29
  19          2          21
  19          3          31
  19          4          30
  19          5          27
  19          6          24
  19          7          36
  19          8          34
  19          9          25
  20          1          30
  20          10         28
  20          2          25
  20          3          27
  20          4          35
  20          5          29
  20          6          24
  20          7          30
  20          8          33
  20          9          26
  21          1          38
  21          10         45
  21          2          34
  21          3          35
  21          4          37
  21          5          37
  21          6          33
  21          7          36
  21          8          44
  21          9          32
  22          1          26
  22          10         23
  22          2          36
  22          3          25
  22          4          26
  22          5          30
  22          6          31
  22          7          38
  22          8          33
  22          9          34
  23          1          25
  23          10         21
  23          2          33
  23          3          23
  23          4          24
  23          5          32
  23          6          27
  23          7          24
  23          8          23
  23          9          26
  24          1          27
  24          10         37
